# mesh name: boxMesh_1
# primitive scorer name: dDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
13,2,0,4.857109292988657e-11,2.359151068403677e-21,1
13,3,0,0,0,0
13,4,0,0,0,0
13,5,0,0,0,0
13,6,0,0,0,0
13,7,0,0,0,0
13,8,0,0,0,0
13,9,0,6.703344864088192e-11,4.493483236689755e-21,1
13,10,0,0,0,0
13,11,0,0,0,0
13,12,0,0,0,0
13,13,0,0,0,0
13,14,0,1.232132419426851e-09,1.518150299002666e-18,1
13,15,0,1.463203683329636e-10,2.140965018909414e-20,1
13,16,0,7.609706009033345e-13,5.79076255439182e-25,1
13,17,0,0,0,0
13,18,0,0,0,0
13,19,0,0,0,0
13,20,0,4.024746364503396e-11,1.61985832985833e-21,1
13,21,0,1.549265084207019e-09,2.400222301142982e-18,1
13,22,0,2.038279139660461e-11,4.154581851174989e-22,1
13,23,0,0,0,0
13,24,0,0,0,0
13,25,0,0,0,0
13,26,0,5.690607452128518e-09,3.238301317422063e-17,1
13,27,0,5.551478822723586e-10,3.081891711914845e-19,1
13,28,0,1.736493204222879e-09,2.113867959356723e-18,2
13,29,0,1.154447248147687e-08,1.332748448755768e-16,1
13,30,0,0,0,0
13,31,0,0,0,0
13,32,0,0,0,0
13,33,0,1.120993323334146e-11,1.256626030959733e-22,1
13,34,0,0,0,0
13,35,0,0,0,0
13,36,0,0,0,0
13,37,0,0,0,0
13,38,0,0,0,0
13,39,0,0,0,0
13,40,0,3.769676278413902e-10,1.08236016595264e-19,2
13,41,0,0,0,0
13,42,0,0,0,0
13,43,0,0,0,0
13,44,0,0,0,0
13,45,0,0,0,0
13,46,0,1.317215757226169e-10,1.735057351084911e-20,1
13,47,0,7.26398869372698e-10,5.276553174259338e-19,1
13,48,0,0,0,0
13,49,0,0,0,0
13,50,0,0,0,0
14,0,0,2.241986646668292e-11,2.513252061919466e-22,2
14,1,0,0,0,0
14,2,0,0,0,0
14,3,0,0,0,0
14,4,0,0,0,0
14,5,0,1.120745021889758e-10,1.256069404090674e-20,1
14,6,0,0,0,0
14,7,0,0,0,0
14,8,0,0,0,0
14,9,0,0,0,0
14,10,0,0,0,0
14,11,0,0,0,0
14,12,0,0,0,0
14,13,0,0,0,0
14,14,0,1.120993323334146e-11,1.256626030959733e-22,1
14,15,0,0,0,0
14,16,0,0,0,0
14,17,0,0,0,0
14,18,0,0,0,0
14,19,0,0,0,0
14,20,0,0,0,0
14,21,0,1.115971743059535e-08,1.245392931307337e-16,1
14,22,0,0,0,0
14,23,0,0,0,0
14,24,0,0,0,0
14,25,0,0,0,0
