name,ekin_MeV,posX_mm,posY_mm,posZ_mm,momX,momY,momZ,process
e-,0.0163101,-0.671474,-46.4627,14.1002,-0.177577,-0.569077,0.802881,compt
e-,0.00350877,36.0763,-32.0916,-21.8225,-0.0832696,0.849752,-0.520564,compt
gamma,0.0774523,-1.34595,-8.7553,-35.9856,-0.418671,-0.597804,0.683627,eBrem
gamma,0.0348449,-1.78168,-9.45918,-35.3233,-0.100974,-0.527445,0.843567,eBrem
e-,0.012487,-25.5745,-43.3502,3.57592,-0.209355,-0.152963,0.965801,compt
gamma,0.852372,-0.0181167,-0.0101156,-49.3994,0.00675275,-0.0194053,0.999789,eBrem
e-,0.378426,0.333109,-1.01943,2.60193,0.555886,0.0739677,0.827961,compt
e-,0.10688,-38.2379,-8.0685,27.5155,-0.449091,0.595967,0.665688,compt
gamma,1.07519,-0.0622216,-0.0684387,-48.8665,-0.169845,-0.0634913,0.983423,eBrem
e-,0.00145084,-0.00116953,0.0117242,-95.5224,-0.324419,0.944101,-0.058526,eIoni
e-,0.496019,0.0744124,-0.148532,-48.8361,0.757256,0.231667,0.61065,eIoni
gamma,0.0442812,1.62188,-0.734252,-41.0135,0.832348,0.456379,-0.314508,eBrem
e-,0.451615,10.5585,-3.32918,-31.7872,-0.0944519,0.210925,0.972928,eIoni
e-,0.0044215,25.1643,12.1741,-49.9091,0.493089,0.515081,-0.70111,compt
e-,0.0026277,30.6569,-5.0446,-17.9433,-0.308271,-0.865633,0.394524,compt
e-,0.00196852,44.5983,11.7188,-8.80141,0.910277,-0.0950495,0.40294,compt
e-,0.0011895,27.8888,37.1779,-11.8928,-0.88998,0.431112,0.148588,compt
e-,0.00188419,38.8327,48.1471,-27.9807,0.584841,-0.263954,-0.767,compt
e-,0.354296,-0.737168,-4.19908,-29.2156,0.102994,0.658263,0.745709,eIoni
e-,0.701298,-2.6756,5.4411,-30.7175,-0.809067,0.576369,-0.114932,eIoni
