name, ekin_MeV, posX_mm, posY_mm, posZ_mm,momX, momY, momZ, process
e-,0.00384949,-8.92678,-38.5502,32.883,-0.9001,0.193495,0.390359,compt
e-,0.00892312,-7.27013,-40.8325,35.4097,-0.0640577,0.108481,0.992032,compt
e-,0.0389991,2.03404,1.68463,-9.59899,-0.00495306,-0.0949898,0.179806,compt
e-,0.0316374,3.2662,11.1938,-13.0121,-0.00112176,0.174209,-0.0546295,compt
e-,7.24082e-05,4.0327,7.24917,-12.0229,-0.00704749,-0.00221771,-0.00440692,compt
e-,0.0107023,13.8911,-26.2226,-0.361803,0.0470127,-0.0869022,-0.0359172,compt
e-,0.0389991,2.03404,1.68463,-9.59899,-0.0243495,-0.466974,0.883936,compt
e-,0.0316374,3.2662,11.1938,-13.0121,-0.00614404,0.954166,-0.299214,compt
e-,7.24082e-05,4.0327,7.24917,-12.0229,-0.819219,-0.257792,-0.512272,compt
e-,0.0107023,13.8911,-26.2226,-0.361803,0.447188,-0.82662,-0.341647,compt
e-,0.00387479,0,0,-98.3645,0.049137,-0.039173,0.00510597,eIoni
gamma,0.00860461,-0.472975,1.62611,-38.7933,-0.00267453,2.35253e-05,0.00817836,eBrem
e-,0.398216,-2.8908,0.678033,-31.7219,-0.583406,-0.472872,0.039765,eIoni
e-,0.00387479,0,0,-98.3645,0.77936,-0.621321,0.0809855,eIoni
gamma,0.00860461,-0.472975,1.62611,-38.7933,-0.310825,0.00273403,0.950463,eBrem
e-,0.398216,-2.8908,0.678033,-31.7219,-0.775774,-0.628792,0.0528768,eIoni
e-,0.00806661,-0.612777,1.62734,-38.3658,-0.0441821,-0.0676395,-0.0422133,phot
e-,0.00806661,-0.612777,1.62734,-38.3658,-0.484696,-0.742032,-0.463097,phot
e-,0.00139455,0.0748929,-0.0645605,-98.3601,-0.0237404,-0.0259074,0.0138699,eIoni
e-,0.00139455,0.0748929,-0.0645605,-98.3601,-0.628418,-0.685782,0.367144,eIoni
e-,0.00297526,0.278352,-0.260587,-69.6027,-0.0119814,0.0534917,0.00668204,eIoni
e-,1.36366,-0.956244,2.44232,-38.6622,0.312555,0.530434,1.69534,eIoni
e-,0.00297526,0.278352,-0.260587,-69.6027,-0.216965,0.968651,0.121001,eIoni
e-,1.36366,-0.956244,2.44232,-38.6622,0.173289,0.294086,0.939939,eIoni
e-,0.00893589,-0.284833,0.0299214,-84.561,0.077404,-0.0553934,0.0123493,eIoni
e-,0.0100658,-0.812593,0.0615306,-67.5725,0.000548059,-0.101522,0.0090292,eIoni
e-,0.00164561,-1.00486,0.123377,-58.2461,0.0113963,-0.0394115,0.00117431,eIoni
gamma,0.0391361,-1.14171,0.343542,-48.5451,0.00133258,0.000807475,0.0391051,eBrem
e-,0.00893589,-0.284833,0.0299214,-84.561,0.806453,-0.57713,0.128664,eIoni
e-,0.0100658,-0.812593,0.0615306,-67.5725,0.00537713,-0.996054,0.0885875,eIoni
e-,0.00164561,-1.00486,0.123377,-58.2461,0.277668,-0.960251,0.0286117,eIoni
gamma,0.0391361,-1.14171,0.343542,-48.5451,0.0340498,0.0206325,0.999207,eBrem
e-,0.00378815,-1.07662,0.38298,-46.6352,-0.0215235,0.0196472,0.0551049,compt
e-,0.00378815,-1.07662,0.38298,-46.6352,-0.34528,0.31518,0.883993,compt
gamma,0.00990577,-0.607789,-0.135132,-44.0108,-0.00470995,-0.00115906,0.00863697,eBrem
gamma,0.00990577,-0.607789,-0.135132,-44.0108,-0.475476,-0.117009,0.871913,eBrem
e-,0.00936777,-0.814352,-0.185965,-43.632,0.0136065,0.0949647,-0.0214048,phot
e-,0.00936777,-0.814352,-0.185965,-43.632,0.138427,0.966135,-0.217764,phot
e-,0.00447629,0,0,-98.53,0.0388758,0.0555279,0.00035199,eIoni
gamma,0.145053,-0.297614,-0.427304,-49.7202,-0.00841998,0.0578741,0.13274,eBrem
e-,0.538825,-0.289143,16.6145,-31.3405,-0.177133,0.873315,-0.216688,eIoni
e-,0.00447629,0,0,-98.53,0.573516,0.819178,0.00519274,eIoni
gamma,0.145053,-0.297614,-0.427304,-49.7202,-0.0580478,0.398986,0.915118,eBrem
e-,0.538825,-0.289143,16.6145,-31.3405,-0.193152,0.952293,-0.236284,eIoni
e-,0.0506136,-1.01885,4.53003,-38.3501,-0.0488091,0.0679662,0.217456,compt
e-,0.00882138,3.08215,3.5045,-46.9536,-0.0226107,0.0486384,-0.0788436,compt
e-,0.00987441,7.62094,-1.75638,-47.704,0.0409526,-0.092224,0.00259637,compt
e-,0.0118729,6.6588,1.85969,-48.0052,0.0514425,0.0854909,-0.0481663,compt
e-,0.00387619,5.31981,2.78269,-46.5024,-0.0397885,0.0476612,-0.0110347,compt
e-,0.000407539,6.60397,-14.5915,2.82706,0.0137423,0.0104128,0.0109267,compt
e-,0.0506136,-1.01885,4.53003,-38.3501,-0.209482,0.291701,0.933289,compt
e-,0.00882138,3.08215,3.5045,-46.9536,-0.237112,0.510058,-0.826812,compt
e-,0.00987441,7.62094,-1.75638,-47.704,0.405707,-0.913641,0.0257216,compt
e-,0.0118729,6.6588,1.85969,-48.0052,0.464313,0.771629,-0.434743,compt
e-,0.00387619,5.31981,2.78269,-46.5024,-0.630969,0.755815,-0.174989,compt
e-,0.000407539,6.60397,-14.5915,2.82706,0.673228,0.510121,0.535295,compt
e-,0.737283,-0.0862208,0.0627405,-48.2799,0.691355,0.140825,0.894027,eIoni
gamma,0.0598287,-2.9735,-0.616877,-43.9445,-0.0393771,-0.0197346,0.0404902,eBrem
e-,0.737283,-0.0862208,0.0627405,-48.2799,0.607039,0.12365,0.784994,eIoni
gamma,0.0598287,-2.9735,-0.616877,-43.9445,-0.658165,-0.329852,0.676769,eBrem
e-,0.0101069,-7.12298,-2.69647,-39.6777,-0.0864059,-0.0187443,0.0511275,compt
e-,0.00152283,16.5428,-3.38775,-44.6381,0.0242142,-0.0190234,-0.0247069,compt
e-,0.0476326,21.9399,3.0411,-38.1006,0.0387259,-0.0288275,0.220496,phot
e-,0.0101069,-7.12298,-2.69647,-39.6777,-0.846005,-0.183526,0.500593,compt
e-,0.00152283,16.5428,-3.38775,-44.6381,0.613333,-0.481852,-0.625813,compt
e-,0.0476326,21.9399,3.0411,-38.1006,0.171567,-0.127714,0.976859,phot
e-,0.762692,-0.165239,-0.139926,-48.7931,-0.138019,-0.967628,0.637036,eIoni
e-,0.762692,-0.165239,-0.139926,-48.7931,-0.1183,-0.829378,0.54602,eIoni
e-,0.503185,-0.116932,0.198604,-47.3463,-0.0721414,0.728304,0.481476,eIoni
e-,1.93107,-0.60521,-0.282374,-43.0754,0.396338,-0.487072,2.30397,eIoni
e-,0.398386,-0.177427,-4.16511,-36.6232,-0.024455,-0.579493,0.47901,eIoni
e-,0.503185,-0.116932,0.198604,-47.3463,-0.0823493,0.831357,0.549604,eIoni
e-,1.93107,-0.60521,-0.282374,-43.0754,0.16597,-0.203966,0.964807,eIoni
e-,0.398386,-0.177427,-4.16511,-36.6232,-0.0325097,-0.770359,0.636781,eIoni
gamma,0.00350279,-0.319511,-0.236812,-42.2911,0.000340485,0.00151384,0.00314037,eBrem
gamma,0.00350279,-0.319511,-0.236812,-42.2911,0.097204,0.432181,0.896533,eBrem
e-,0.00296479,-0.315228,-0.21777,-42.2515,0.0454846,0.0221852,0.0218578,phot
e-,0.00296479,-0.315228,-0.21777,-42.2515,0.825114,0.40245,0.396511,phot
e-,1.28859,3.46019,0.732746,-34.9181,0.770812,0.173159,1.53404,eIoni
e-,1.28859,3.46019,0.732746,-34.9181,0.446714,0.100352,0.889031,eIoni
gamma,0.171338,-1.26925,0.168551,-44.7888,-0.0874378,-0.0629652,0.133217,eBrem
e-,0.359762,-18.5993,3.68544,-41.0855,-0.370754,-0.0827344,0.593971,eIoni
gamma,0.171338,-1.26925,0.168551,-44.7888,-0.510322,-0.36749,0.77751,eBrem
e-,0.359762,-18.5993,3.68544,-41.0855,-0.52585,-0.117344,0.842444,eIoni
e-,0.403249,-10.6431,-1.06762,-37.1966,-0.558035,-0.508133,-0.0716047,eIoni
e-,0.403249,-10.6431,-1.06762,-37.1966,-0.736088,-0.670263,-0.0944517,eIoni
gamma,0.255888,-1.95691,-3.50978,-36.4403,-0.0324684,-0.119917,0.223706,eBrem
gamma,0.0176173,-1.62154,-5.40182,-32.5095,0.0087724,-0.00632136,0.0139088,eBrem
e-,1.02625,-1.17005,-5.747,-31.7587,0.363441,-0.342051,1.36123,eIoni
gamma,0.255888,-1.95691,-3.50978,-36.4403,-0.126885,-0.46863,0.874235,eBrem
gamma,0.0176173,-1.62154,-5.40182,-32.5095,0.497942,-0.358815,0.789497,eBrem
e-,1.02625,-1.17005,-5.747,-31.7587,0.250678,-0.235924,0.938883,eIoni
e-,0.0170793,3.34348,-8.97959,-24.6373,0.129343,0.0117543,0.0296467,phot
e-,0.0170793,3.34348,-8.97959,-24.6373,0.970922,0.0882346,0.222544,phot
e-,0.125037,-8.52075,-27.7522,8.78425,-0.094398,-0.196483,0.309685,compt
e-,0.02575,5.82096,-10.0401,-11.0232,0.0154029,0.0279819,-0.161119,compt
e-,0.00216942,14.4941,-1.72114,9.00439,0.0208915,-0.0357244,0.0225645,compt
e-,0.0042847,24.1828,40.0597,46.5699,-0.0379806,0.0543505,-0.000898298,compt
e-,0.125037,-8.52075,-27.7522,8.78425,-0.249262,-0.518821,0.817737,compt
e-,0.02575,5.82096,-10.0401,-11.0232,0.0937745,0.170357,-0.98091,compt
e-,0.00216942,14.4941,-1.72114,9.00439,0.443213,-0.757893,0.478707,compt
e-,0.0042847,24.1828,40.0597,46.5699,-0.572754,0.819616,-0.0135465,compt
gamma,0.0605102,-1.59866,0.268783,-41.9841,-0.00933283,0.0151117,0.0578448,eBrem
gamma,0.0605102,-1.59866,0.268783,-41.9841,-0.154236,0.249738,0.955951,eBrem
e-,0.383191,0.00672858,0.00763992,-49.1525,0.513686,-0.306396,0.425093,eIoni
e-,0.357796,0.230415,-0.756468,-44.5946,-0.510547,-0.00824815,0.482658,eIoni
e-,0.383191,0.00672858,0.00763992,-49.1525,0.700039,-0.41755,0.579307,eIoni
e-,0.357796,0.230415,-0.756468,-44.5946,-0.726626,-0.011739,0.686933,eIoni
e-,1.27188,-1.73455,-2.63438,-38.8749,0.63413,-1.11839,1.12456,eIoni
e-,0.390739,-2.09353,-5.37313,-32.3447,0.730468,0.113619,-0.0742837,eIoni
e-,1.27188,-1.73455,-2.63438,-38.8749,0.371253,-0.654763,0.658374,eIoni
